,School_Name,School_District,School_Address,School_Phone_Number,Principal_FName,Principal_LName,Grades,School_Type,Super_Phone_Number,Super_FName,Super_LName
823,Tuckahoe Elementary,Henrico County Public Schools,"701 Forest Ave Richmond, VA 23229",804-673-3765,Sonia,Ford,PK-5,Elementary,804-652-3717,Amy,Cashwell
824,Twin Hickory Elementary,Henrico County Public Schools,"4900 Twin Hickory Lake Dr Glen Allen, VA 23059",804-360-4700,Vanessa,Davis,PK-5,Elementary,804-652-3717,Amy,Cashwell
825,Varina Elementary,Henrico County Public Schools,"2551 New Market Rd Richmond, VA 23231",804-795-7010,Markham,Tyler,3-5,Elementary,804-652-3717,Amy,Cashwell
826,Brookland Middle,Henrico County Public Schools,"9200 Lydell Dr Richmond, VA 23228",804-261-5000,Nicholas,Barlett,6-8,Middle,804-652-3717,Amy,Cashwell
827,Elko Middle,Henrico County Public Schools,"5901 Elko Road Sandston, VA 23150",804-328-4110,Herman,Mizell,6-8,Middle,804-652-3717,Amy,Cashwell
828,Fairfield Middle,Henrico County Public Schools,"5121 Nine Mile Rd Richmond, VA 23223",804-328-4020,Gena,Jones,6-8,Middle,804-652-3717,Amy,Cashwell
829,George H. Moody Middle,Henrico County Public Schools,"7800 Woodman Rd Richmond, VA 23228",804-261-5015,Denise,Doss,6-8,Middle,804-652-3717,Amy,Cashwell
830,Holman Middle,Henrico County Public Schools,"600 Concourse Blvd. Glen Allen, VA 23059",804-346-1300,Susan,Proffitt,6-8,Middle,804-652-3717,Amy,Cashwell
831,Hungary Creek Middle,Henrico County Public Schools,"4909 Francistown Rd. Glen Allen, VA 23060",804-527-2640,Robert,Moose,6-8,Middle,804-652-3717,Amy,Cashwell
832,John Rolfe Middle,Henrico County Public Schools,"6901 Messer Rd Richmond, VA 23231",804-226-8730,Darryl,Johnson,6-8,Middle,804-652-3717,Amy,Cashwell
833,L. Douglas Wilder Middle,Henrico County Public Schools,"6900 Wilkinson Rd Richmond, VA 23227",804-515-1100,Erica,Broudy,6-8,Middle,804-652-3717,Amy,Cashwell
834,Pocahontas Middle,Henrico County Public Schools,"12000 Three Chopt Rd Richmond, VA 23233",804-364-0830,Thomas,McAuley,6-8,Middle,804-652-3717,Amy,Cashwell
835,Quioccasin Middle,Henrico County Public Schools,"9400 Quioccasin Rd Richmond, VA 23233",804-750-2630,Robert Stevens,II,6-8,Middle,804-652-3717,Amy,Cashwell
836,Short Pump Middle,Henrico County Public Schools,"4701 Pouncey Tract Rd Glen Allen, VA 23060",804-360-0800,Jessica,Burbic,6-8,Middle,804-652-3717,Amy,Cashwell
837,Tuckahoe Middle,Henrico County Public Schools,"9000 Three Chopt Rd Richmond, VA 23229",804-673-3720,Ann,Greene,6-8,Middle,804-652-3717,Amy,Cashwell
838,Deep Run High,Henrico County Public Schools,"4801 Twin Hickory Rd. Glen Allen, VA 23059",804-364-8000,Brian,Fellows,9-12,High,804-652-3717,Amy,Cashwell
839,Douglas S. Freeman High,Henrico County Public Schools,"8701 Three Chopt Rd Richmond, VA 23229",804-673-3700,John,Marshall,9-12,High,804-652-3717,Amy,Cashwell
840,Glen Allen High,Henrico County Public Schools,"10700 Staples Mill Road Glen Allen, VA 23060",804-501-3300,Reginald,Davenport,9-12,High,804-652-3717,Amy,Cashwell
841,Henrico High,Henrico County Public Schools,"302 Azalea Ave Richmond, VA 23227",804-228-2700,Karin,Castillo-Rose,9-12,High,804-652-3717,Amy,Cashwell
842,Hermitage High,Henrico County Public Schools,"8301 Hungary Spring Rd Richmond, VA 23228",804-756-3000,Michael,Jackson,9-12,High,804-652-3717,Amy,Cashwell
843,Highland Springs High,Henrico County Public Schools,"200 S. Airport Drive Highland Springs, VA 23075",804-328-4000,Kenneth,White,9-12,High,804-652-3717,Amy,Cashwell
844,John Randolph Tucker High,Henrico County Public Schools,"2910 N Parham Rd Richmond, VA 23294",804-527-4600,Arthur,Raymond,9-12,High,804-652-3717,Amy,Cashwell
845,Mills E. Godwin High,Henrico County Public Schools,"2101 Pump Rd Richmond, VA 23238",804-750-2600,Leigh,Dunavant,9-12,High,804-652-3717,Amy,Cashwell
846,Varina High,Henrico County Public Schools,"7053 Messer Rd Richmond, VA 23231",804-226-8700,Darin,Thompson,9-12,High,804-652-3717,Amy,Cashwell
847,Axton Elementary,Henry County Public Schools,"1500 Axton School Road Axton, VA 24054",276-650-1193,Marcie,Seay,PK-5,Elementary,276-634-4700,Sandy,Strayer
848,Campbell Court Elementary,Henry County Public Schools,"220 Campbell Ct Bassett, VA 24055",276-629-5344,Kenya,Gravely,PK-5,Elementary,276-634-4700,Sandy,Strayer
849,Drewry Mason Elementary,Henry County Public Schools,"45 Drewry Mason Drive Ridgeway, VA 24148",276-956-3154,Elizabeth,Motley,PK-5,Elementary,276-634-4700,Sandy,Strayer
850,G.W. Carver Elementary,Henry County Public Schools,"220 Trott Circle Martinsville, VA 24112",276-957-2226,Luke,Boone,PK-5,Elementary,276-634-4700,Sandy,Strayer
851,Meadow View Elementary,Henry County Public Schools,"740 Figsboro Road Martinsville, VA 24112",276-647-7676,Katherine Renee,Scott,PK-5,Elementary,276-634-4700,Sandy,Strayer
852,Mount Olivet Elementary,Henry County Public Schools,"255 Lancer Lane Martinsville, VA 24112",276-638-1022,Katherine Renee,Scott,PK-5,Elementary,276-634-4700,Sandy,Strayer
853,Rich Acres Elementary,Henry County Public Schools,"400 Rich Acres School Rd Martinsville, VA 24112-8837",276-638-3366,Crystal,Dixon,PK-5,Elementary,276-634-4700,Sandy,Strayer
854,Sanville Elementary,Henry County Public Schools,"19 Sanville School Rd Bassett, VA 24055",276-629-5301,Joshua,Eanes,PK-5,Elementary,276-634-4700,Sandy,Strayer
855,Stanleytown Elementary,Henry County Public Schools,"74 Edgewood Dr Stanleytown, VA 24168",276-629-5084,Laryssa,Hairston-Penn,PK-5,Elementary,276-634-4700,Sandy,Strayer
856,Fieldale-Collinsville Middle,Henry County Public Schools,"645 Miles Road Collinsville, VA 24078",276-647-3841,Franketta,Tatum,6-8,Middle,276-634-4700,Sandy,Strayer
857,Laurel Park Middle,Henry County Public Schools,"280 Laurel Park Avenue Martinsville, VA 24112",276-632-7216,Katrina,Perry,6-8,Middle,276-634-4700,Sandy,Strayer
858,Bassett High,Henry County Public Schools,"85 Riverside Dr Bassett, VA 24055-9307",276-629-1731,Tiffiny,Gravely,9-12,High,276-634-4700,Sandy,Strayer
859,Magna Vista High,Henry County Public Schools,"701 Magna Vista School Rd Ridgeway, VA 24148",276-956-3147,Duane,Whittaker,9-12,High,276-634-4700,Sandy,Strayer
860,Highland Elementary,Highland County Public Schools,"252 Myers/Moon Rd Monterey, VA 24465",540-468-6360,Nicole,Cabral,PK-5,Elementary,540-468-6300,Drew,Maerz
861,Highland High,Highland County Public Schools,"244 Myers/Moon Rd Monterey, VA 24465",540-468-6320,Timothy,Good,6-12,Combined,540-468-6300,Drew,Maerz
862,Dupont Elementary,Hopewell Public Schools,"300 S. 18th Avenue Hopewell, VA 23860",804-541-6406,Carla,Fizer,KG-5,Elementary,804-541-6400,Melody,Hackney
863,Harry E. James Elementary,Hopewell Public Schools,"1807 Arlington Rd Hopewell, VA 23860",804-541-6408,La-Donna,Mills,KG-5,Elementary,804-541-6400,Melody,Hackney
864,Patrick Copeland Elementary,Hopewell Public Schools,"400 Westhill Drive Hopewell, VA 23860-3758",804-541-6410,Schneria,Valentine,KG-5,Elementary,804-541-6400,Melody,Hackney
865,Carter G. Woodson Middle,Hopewell Public Schools,"1000 Winston Churchill Drive Hopewell, VA 23860-3758",804-541-6404,Shannon,Royster,6-8,Middle,804-541-6400,Melody,Hackney
866,Hopewell High,Hopewell Public Schools,"400 S Mesa Dr Hopewell, VA 23860",804-541-6402,Judy,Carter,9-12,High,804-541-6400,Melody,Hackney
867,Woodlawn Pre-School Learning Center,Hopewell Public Schools,"1100 Dinwiddie Ave. Hopewell, VA 23860",804-541-6414,Veronia,Moore,PK,Elementary,804-541-6400,Melody,Hackney
868,Carrollton Elementary,Isle of Wight County Public Schools,"14440 New Towne Haven Ln Carrollton, VA 23314",757-357-8850,Robert,Brennan,PK-3,Elementary,757-357-8841,Position,Vacant
869,Carrsville Elementary,Isle of Wight County Public Schools,"5355 Carrsville Hwy Carrsville, VA 23315",757-562-4054,Pamela,Hatfield,PK-5,Elementary,757-357-8841,Position,Vacant
870,Hardy Elementary,Isle of Wight County Public Schools,"9311 Hardy Cir Smithfield, VA 23430",757-357-3204,Shante,Denson,PK-4,Elementary,757-357-8841,Position,Vacant
871,Westside Elementary,Isle of Wight County Public Schools,"800 Main Street Smithfield, VA 23430",757-357-3021,Matthew,Johnson,4-6,Elementary,757-357-8841,Position,Vacant
872,Windsor Elementary,Isle of Wight County Public Schools,"20008 Courthouse Hwy Windsor, VA 23487",757-242-4193,Ellen,Couch,PK-5,Elementary,757-357-8841,Position,Vacant
873,Georgie D. Tyler Middle,Isle of Wight County Public Schools,"23320 N. Court St. Windsor, VA 23487",757-242-3229,Erin,Luck,6-8,Middle,757-357-8841,Position,Vacant
874,Smithfield Middle,Isle of Wight County Public Schools,"14175 Turner Drive Smithfield, VA 23430",757-365-4100,Kristy,Buggs,7-8,Middle,757-357-8841,Position,Vacant
875,Smithfield High,Isle of Wight County Public Schools,"14171 Turner Dr Smithfield, VA 23430",757-357-3108,Patricia,Cuffee,9-12,High,757-357-8841,Position,Vacant
876,Windsor High,Isle of Wight County Public Schools,"24 Church Street Windsor, VA 23487",757-242-6172,Dawn,Carroll,9-12,High,757-357-8841,Position,Vacant
877,King & Queen Elementary,King and Queen County Public Schools,"24667 The Trail Mattaponi, VA 23110",804-785-5830,Dawn,Carroll,PK-6,Elementary,804-785-5981,Carol,Carter
878,Lawson-Marriott Elementary,King and Queen County Public Schools,"1599 Newtown Rd St Stephens Church, VA 23148",804-769-3116,Dawn,Carroll,PK-6,Elementary,804-785-5981,Carol,Carter
879,Central High,King and Queen County Public Schools,"17024 The Trail King And Queen C H, VA 23085",804-785-6102,Dawn,Carroll,7-12,Combined,804-785-5981,Carol,Carter
880,King George Elementary,King George County Public Schools,"10381 Ridge Road King George, VA 22485",540-775-5411,Ronald,Monroe,PK-5,Elementary,540-775-5833,Jesse,Boyd
881,Potomac Elementary,King George County Public Schools,"16495 15th Street Dahlgren, VA 22448",540-663-3322,Brown,Melinda,KG-5,Elementary,540-775-5833,Jesse,Boyd
882,Sealston Elementary,King George County Public Schools,"11048 Fletchers Chapel Rd. King George, VA 22485",540-775-3400,Sandra,Elia,KG-5,Elementary,540-775-5833,Jesse,Boyd
883,King George Middle,King George County Public Schools,"8246 Dahlgren Road King George, VA 22485",540-775-2331,Casey,Nice,6-8,Middle,540-775-5833,Jesse,Boyd
884,King George High,King George County Public Schools,"10100 Foxes Way King George, VA 22485",540-775-3535,Marcus,Watson,9-12,High,540-775-5833,Jesse,Boyd
885,Acquinton Elementary,King William County Public Schools,"18550 King William Road King William, VA 23086",804-769-3434,Christina,Beasley,3-5,Elementary,804-769-3434,David,White
886,Cool Spring Primary,King William County Public Schools,"7301 Acquinton Church Rd. King William, VA 23086",804-769-3434,Tiffany,Quicke,PK-2,Elementary,804-769-3434,David,White
887,Hamilton Holmes Middle,King William County Public Schools,"18444 King William Road King William, VA 23086",804-769-3434,Andrew,Perego,6-8,Middle,804-769-3434,David,White
888,King William High,King William County Public Schools,"80 Cavalier Drive King William, VA 23086",804-769-3434,Corey,McConville,9-12,High,804-769-3434,David,White
889,Lancaster Middle,Lancaster County Public Schools,"191 School Street Kilmarnock, VA 22482",804-462-5100,Jennifer,Eddy,5-7,Elementary,804-462-5100,Position,Vacant
890,Lancaster Primary,Lancaster County Public Schools,"36 Primary School Circle Lancaster, VA 22503",804-462-5100,Michael,Myers,KG-4,Elementary,804-462-5100,Position,Vacant
891,Lancaster High,Lancaster County Public Schools,"8815 Mary Ball Rd Lancaster, VA 22503",804-462-5100,Tara,Booth,8-12,High,804-462-5100,Position,Vacant
892,Lancaster Early Childhood Education Center,Lancaster County Public Schools,"235 School St Kilmarnock, VA 22482",804-462-6100,Tara,Booth,PK,Elementary,804-462-5100,Position,Vacant
893,Dryden Elementary,Lee County Public Schools,"176 School House Ridge Road Dryden, VA 24243",276-546-4443,Mary,Day,PK-4,Elementary,276-346-2107,Brian,Dean
894,Elk Knob Elementary,Lee County Public Schools,"148 Hornet Loop Pennington Gap, VA 24277",276-546-1837,Brian,Huff,PK-4,Elementary,276-346-2107,Brian,Dean
895,Elydale Middle,Lee County Public Schools,"128 Elydale Road Ewing, VA 24248",276-445-4439,Nicole,Ayers,5-7,Elementary,276-346-2107,Brian,Dean
896,Flatwoods Elementary,Lee County Public Schools,"205 Flatwoods School Road Jonesville, VA 24263",276-346-2799,Dawn,Crabtree,PK-4,Elementary,276-346-2107,Brian,Dean
897,Jonesville Middle,Lee County Public Schools,"160 Bulldog Circle Jonesville, VA 24263",276-346-1011,Jeremy,Pendergraft,5-7,Elementary,276-346-2107,Brian,Dean
898,Pennington Middle,Lee County Public Schools,"121 Bobcat Circle Pennington Gap, VA 24277",276-546-1453,Amy,Gunter,5-7,Elementary,276-346-2107,Brian,Dean
899,Rose Hill Elementary,Lee County Public Schools,"150 Rose Hill Drive Rose Hill, VA 24281-9716",276-445-4094,Christy,Ayers,PK-4,Elementary,276-346-2107,Brian,Dean
900,St. Charles Elementary,Lee County Public Schools,"2434 St. Charles Road St Charles, VA 24282",276-383-4531,Kellie,Leonard,PK-4,Elementary,276-346-2107,Brian,Dean
901,Lee High,Lee County Public Schools,"200 Generals Lane Jonesville, VA 24263",276-346-0173,Brian,Coomer,8-12,High,276-346-2107,Brian,Dean
902,Thomas Walker High,Lee County Public Schools,"126 Blue Gray Road Ewing, VA 24248",276-445-4111,Brian,Coomer,8-12,High,276-346-2107,Brian,Dean
903,Harrington Waddell Elementary,Lexington Public Schools,"100 Pendleton Place Lexington, VA 24450",540-463-5353,Kim,Troise,KG-5,Elementary,540-463-7146,Rebecca,Walters
904,Lylburn Downing Middle,Lexington Public Schools,"302 Diamond St Lexington, VA 24450",540-463-3532,Abbott,Keesee,6-8,Middle,540-463-7146,Rebecca,Walters
905,Aldie Elementary,Loudoun County Public Schools,"23269 Meetinghouse Ln Aldie, VA 20105",703-957-4380,Tracy,Stephens,PK-5,Elementary,571-252-1000,Scott,Ziegler
906,Algonkian Elementary,Loudoun County Public Schools,"20196 Carter Court Sterling, VA 20165",571-434-3240,Brian,Blubaugh,PK-5,Elementary,571-252-1000,Scott,Ziegler
907,Arcola Elementary,Loudoun County Public Schools,"41740 Tall Cedars Parkway Aldie, VA 20105",703-957-4390,Andrew,Stevens,PK-5,Elementary,571-252-1000,Scott,Ziegler
908,Ashburn Elementary,Loudoun County Public Schools,"44062 Fincastle Dr Ashburn, VA 20147",571-252-2350,Michelle,Walthour,PK-5,Elementary,571-252-1000,Scott,Ziegler
909,Ball's Bluff Elementary,Loudoun County Public Schools,"821 Battlefield Pkwy NE Leesburg, VA 20176",571-252-2880,Jennifer,Ewing,PK-5,Elementary,571-252-1000,Scott,Ziegler
910,Banneker Elementary,Loudoun County Public Schools,"35231 Snake Hill Rd Middleburg, VA 20117",540-751-2480,Robert,Carter,PK-5,Elementary,571-252-1000,Scott,Ziegler
911,Belmont Station Elementary,Loudoun County Public Schools,"20235 Nightwatch St. Ashburn, VA 20147",571-252-2240,Erin,Timothy,PK-5,Elementary,571-252-1000,Scott,Ziegler
912,Buffalo Trail Elementary,Loudoun County Public Schools,"42190 Seven Hills Drive Aldie, VA 20105",703-722-2780,Alisa,Rogaliner,PK-5,Elementary,571-252-1000,Scott,Ziegler
913,Cardinal Ridge Elementary,Loudoun County Public Schools,"26155 Bullrun Post Office Road Centreville, VA 20120",571-367-4020,Mojisola,Adejumo,PK-5,Elementary,571-252-1000,Scott,Ziegler
914,Catoctin Elementary,Loudoun County Public Schools,"311 Catoctin Circle SW Leesburg, VA 20175",571-252-2940,Janet,Platenberg,PK-5,Elementary,571-252-1000,Scott,Ziegler
915,Cedar Lane Elementary,Loudoun County Public Schools,"43700 Tolamac Dr Ashburn, VA 20147",571-252-2120,Robert,Marple,PK-5,Elementary,571-252-1000,Scott,Ziegler
916,Cool Spring Elementary,Loudoun County Public Schools,"501 Tavistock Dr SE Leesburg, VA 20175",571-252-2890,Chris,Cadwell,PK-5,Elementary,571-252-1000,Scott,Ziegler
917,Countryside Elementary,Loudoun County Public Schools,"20624 Countryside Blvd. Sterling, VA 20165",571-434-3250,Richard,Rudnick,PK-5,Elementary,571-252-1000,Scott,Ziegler
918,Creighton's Corner Elementary,Loudoun County Public Schools,"23171 Minerva Drive Ashburn, VA 20148",703-957-4480,Brendan,Quigley,PK-5,Elementary,571-252-1000,Scott,Ziegler
919,Discovery Elementary,Loudoun County Public Schools,"44020 Grace Bridge Drive Ashburn, VA 20147",571-252-2370,Christopher,Painter,PK-5,Elementary,571-252-1000,Scott,Ziegler
920,Dominion Trail Elementary,Loudoun County Public Schools,"44045 Bruceton Mills Circle Ashburn, VA 20147",571-252-2340,Jeff,Joseph,PK-5,Elementary,571-252-1000,Scott,Ziegler
921,Elaine E. Thompson Elementary,Loudoun County Public Schools,"24200 Pissaro Drive Sterling, VA 20166",571-367-4230,Timothy,Sparbanie,PK-5,Elementary,571-252-1000,Scott,Ziegler
922,Emerick Elementary,Loudoun County Public Schools,"440 S Nursery Ave Purcellville, VA 20132",540-571-2440,Dawn,Haddock,PK-5,Elementary,571-252-1000,Scott,Ziegler
923,Evergreen Mill Elementary,Loudoun County Public Schools,"491 Evergreen Mill Rd SE Leesburg, VA 20175",571-252-2900,Daniel,Lani,PK-5,Elementary,571-252-1000,Scott,Ziegler
924,Forest Grove Elementary,Loudoun County Public Schools,"46245 Forest Ridge Dr. Sterling, VA 20164",703-434-4560,Rhonda,Lopez,PK-5,Elementary,571-252-1000,Scott,Ziegler
925,Frances Hazel Reid Elementary,Loudoun County Public Schools,"800 N. King St. Leesburg, VA 20176",571-252-2050,Brenda,Jochems,PK-5,Elementary,571-252-1000,Scott,Ziegler
926,Frederick Douglass Elementary,Loudoun County Public Schools,"510 Drummond Way, SE Leesburg, VA 20175",571-252-1920,Melissa,Logan,PK-5,Elementary,571-252-1000,Scott,Ziegler
927,Goshen Post Elementary,Loudoun County Public Schools,"24945 Lobo Drive Aldie, VA 20105",571-367-4030,Brian,Klippel,PK-5,Elementary,571-252-1000,Scott,Ziegler
928,Guilford Elementary,Loudoun County Public Schools,"600 W Poplar Rd Sterling, VA 20164",571-434-4550,Rolando,Tillman,PK-5,Elementary,571-252-1000,Scott,Ziegler
929,Hamilton Elementary,Loudoun County Public Schools,"54 S Kerr St Hamilton, VA 20158",540-751-2570,Kelly,Meisenzahl,PK-5,Elementary,571-252-1000,Scott,Ziegler
930,Hillside Elementary,Loudoun County Public Schools,"43000 Ellzey Dr Ashburn, VA 20148",571-252-2170,Chris,Mills,PK-5,Elementary,571-252-1000,Scott,Ziegler
931,Horizon Elementary,Loudoun County Public Schools,"46665 Broadmore Dr Sterling, VA 20165",571-434-3260,Neil,Kraus,PK-5,Elementary,571-252-1000,Scott,Ziegler
932,Hovatter Elementary,Loudoun County Public Schools,"41135 collaboration drive Aldie, VA 20105",571-367-4120,Lori,Mercer,PK-5,Elementary,571-252-1000,Scott,Ziegler
933,Hutchison Farm Elementary,Loudoun County Public Schools,"42819 Center St. South Riding, VA 20152",703-957-4350,Heidi,Smith,PK-5,Elementary,571-252-1000,Scott,Ziegler
934,John W. Tolbert Jr. Elementary,Loudoun County Public Schools,"691 Potomac Station Dr NE Leesburg, VA 20176",571-252-2870,Susan,Mullen,PK-5,Elementary,571-252-1000,Scott,Ziegler
935,Kenneth W.Culbert Elementary,Loudoun County Public Schools,"38180 West Colonial Highway Hamilton, VA 20158",540-751-2540,Monica,Edwards,PK-5,Elementary,571-252-1000,Scott,Ziegler
936,Leesburg Elementary,Loudoun County Public Schools,"323 Plaza St NE Leesburg, VA 20176",571-252-2860,Shawn,Lacey,PK-5,Elementary,571-252-1000,Scott,Ziegler
937,Legacy Elementary,Loudoun County Public Schools,"22995 Minerva Drive Ashburn, VA 20148",703-957-4425,Kirsten,O'Hara,PK-5,Elementary,571-252-1000,Scott,Ziegler
938,Liberty Elementary,Loudoun County Public Schools,"25491 Riding Center Drive South Riding, VA 20152",703-957-4370,Paul,Pack,PK-5,Elementary,571-252-1000,Scott,Ziegler
939,Lincoln Elementary,Loudoun County Public Schools,"18048 Lincoln Rd Purcellville, VA 20132",540-751-2430,David,Michener,PK-5,Elementary,571-252-1000,Scott,Ziegler
940,Little River Elementary,Loudoun County Public Schools,"43464 Hyland Hills St South Riding, VA 20152",703-957-4360,Kevin,Murphy,PK-5,Elementary,571-252-1000,Scott,Ziegler
941,Lovettsville Elementary,Loudoun County Public Schools,"49 S Loudoun St Lovettsville, VA 20180-8513",540-751-2470,Linda,Textoris,PK-5,Elementary,571-252-1000,Scott,Ziegler
942,Lowes Island Elementary,Loudoun County Public Schools,"20755 Whitewater Dr Sterling, VA 20165",571-434-4450,Kate,Puschak,PK-5,Elementary,571-252-1000,Scott,Ziegler
943,Lucketts Elementary,Loudoun County Public Schools,"14550 James Monroe Hwy Leesburg, VA 20176",571-252-2070,Carolyn,Clement,PK-5,Elementary,571-252-1000,Scott,Ziegler
944,Madison's Trust Elementary,Loudoun County Public Schools,"42380 Creighton Rd Ashburn, VA 20148",571-252-1018,David,Stewart,PK-5,Elementary,571-252-1000,Scott,Ziegler
945,Meadowland Elementary,Loudoun County Public Schools,"729 S Sugarland Run Dr Sterling, VA 20164",571-434-4440,Anna,Purdy,PK-5,Elementary,571-252-1000,Scott,Ziegler
946,Mill Run Elementary,Loudoun County Public Schools,"42940 Ridgeway Drive Ashburn, VA 20148",571-252-2160,John,Cornely,PK-5,Elementary,571-252-1000,Scott,Ziegler
947,Moorefield Station Elementary,Loudoun County Public Schools,"22325 Mooreview Parkway Ashburn, VA 20148",571-252-2380,Paula,Williams,PK-5,Elementary,571-252-1000,Scott,Ziegler
948,Mountain View Elementary,Loudoun County Public Schools,"36803 Allder School Rd. Purcellville, VA 21032",540-751-2550,Jill,Broaddus,PK-5,Elementary,571-252-1000,Scott,Ziegler
949,Newton-Lee Elementary,Loudoun County Public Schools,"43335 Gloucester Parkway Ashburg, VA 20147",571-252-1535,Shawn,Lyons,PK-5,Elementary,571-252-1000,Scott,Ziegler
950,Pinebrook Elementary,Loudoun County Public Schools,"25480 Mindful Court Aldie, VA 20105",703-957-4325,Paul,Thiessen,PK-5,Elementary,571-252-1000,Scott,Ziegler
951,Potowmack Elementary,Loudoun County Public Schools,"46465 Esterbrook Pkwy Sterling, VA 20165",571-434-3270,Mark,Hayden,PK-5,Elementary,571-252-1000,Scott,Ziegler
952,Rolling Ridge Elementary,Loudoun County Public Schools,"500 E Frederick Dr Sterling, VA 20164",571-434-4540,Abby,Sacco,PK-5,Elementary,571-252-1000,Scott,Ziegler
953,Rosa Lee Carter Elementary,Loudoun County Public Schools,"43330 Loudoun Reserve Drive Ashburn, VA 20148",703-957-4490,Diane,Mackey,PK-5,Elementary,571-252-1000,Scott,Ziegler
954,Round Hill Elementary,Loudoun County Public Schools,"17115 Evening Star Dr Round Hill, VA 20141",540-751-2450,Andrew,Davis,PK-5,Elementary,571-252-1000,Scott,Ziegler
955,Sanders Corner Elementary,Loudoun County Public Schools,"43100 Ashburn Farm Pkwy Ashburn, VA 20147",571-252-2250,Michael,Jacques,PK-5,Elementary,571-252-1000,Scott,Ziegler
956,Seldens Landing Elementary,Loudoun County Public Schools,"43345 Coton Commons Dr. Leesburg, VA 20176",571-252-2260,Garett,Brazina,PK-5,Elementary,571-252-1000,Scott,Ziegler
957,Sterling Elementary,Loudoun County Public Schools,"200 W Church Rd Sterling, VA 20164",571-434-4580,Jennifer Meres,Short,PK-5,Elementary,571-252-1000,Scott,Ziegler
958,Steuart W. Weller Elementary,Loudoun County Public Schools,"20700 Marblehead Drive Ashburn, VA 20147",571-252-2360,Julia,Burton,PK-5,Elementary,571-252-1000,Scott,Ziegler
959,Sugarland Elementary,Loudoun County Public Schools,"65 Sugarland Run Dr Sterling, VA 20164",571-434-4460,Gregory,Mihalik,PK-5,Elementary,571-252-1000,Scott,Ziegler
960,Sully Elementary,Loudoun County Public Schools,"300 Circle Dr Sterling, VA 20164",571-434-4570,John,Tuck,PK-5,Elementary,571-252-1000,Scott,Ziegler
961,Sycolin Creek Elementary,Loudoun County Public Schools,"21100 Evergreen Mills Road Leesburg, VA 20175",571-252-2910,Derek,Racino,PK-5,Elementary,571-252-1000,Scott,Ziegler
962,Waterford Elementary,Loudoun County Public Schools,"15513 Loyalty Rd Waterford, VA 20197",540-751-2460,Andrew,Heironimus,PK-5,Elementary,571-252-1000,Scott,Ziegler
963,Waxpool Elementary,Loudoun County Public Schools,"42560 Black Angus Drive Ashburn, VA 20148",571-367-4220,Michael,Pellegrino,PK-5,Elementary,571-252-1000,Scott,Ziegler
964,Belmont Ridge Middle,Loudoun County Public Schools,"19045 Upper Belmont Place Leesburg, VA 20176",571-252-2220,Katie,Johnson,6-8,Middle,571-252-1000,Scott,Ziegler
965,Blue Ridge Middle,Loudoun County Public Schools,"551 East A St Purcellville, VA 20132",540-751-2520,Brion,Bell,6-8,Middle,571-252-1000,Scott,Ziegler
966,Brambleton Middle,Loudoun County Public Schools,"23070 Learning Circle Ashburn, VA 20148",703-957-4450,Chad,O'Brien,6-8,Middle,571-252-1000,Scott,Ziegler
967,Eagle Ridge Middle,Loudoun County Public Schools,"42901 Waxpool Rd Ashburn, VA 20148",571-252-2140,Scott,Phillips,6-8,Middle,571-252-1000,Scott,Ziegler
968,Farmwell Station Middle,Loudoun County Public Schools,"44281 Gloucester Pkwy Ashburn, VA 20147",571-252-2320,Sherryl,Loya,6-8,Middle,571-252-1000,Scott,Ziegler
969,Harmony Middle,Loudoun County Public Schools,"38174 W. Colonial Highway Hamilton, VA 20158",540-751-2500,Eric,Stewart,6-8,Middle,571-252-1000,Scott,Ziegler
970,Harper Park Middle,Loudoun County Public Schools,"701 Potomac Station Dr NE Leesburg, VA 20176",571-252-2820,Shena,Brown,6-8,Middle,571-252-1000,Scott,Ziegler
971,J. Lupton Simpson Middle,Loudoun County Public Schools,"490 Evergreen Mill Rd SE Leesburg, VA 20175",571-252-2840,Lenny,Compton,6-8,Middle,571-252-1000,Scott,Ziegler
972,J. Michael Lunsford Middle,Loudoun County Public Schools,"26020 Ticonderoga Road Chantilly, VA 20152",703-722-2660,Carrie,Simms,6-8,Middle,571-252-1000,Scott,Ziegler
973,Mercer Middle,Loudoun County Public Schools,"42149 Greenstone Dr. Aldie, VA 20105",703-957-4340,Nikisha,Diehl,6-8,Middle,571-252-1000,Scott,Ziegler
974,River Bend Middle,Loudoun County Public Schools,"46240 Algonkian Pkwy. Sterling, VA 20165",571-434-3220,David,Shaffer,6-8,Middle,571-252-1000,Scott,Ziegler
975,Seneca Ridge Middle,Loudoun County Public Schools,"98 Seneca Ridge Dr Sterling, VA 20164",571-434-4420,Nick,Cottone,6-8,Middle,571-252-1000,Scott,Ziegler
976,Smart's Mill Middle,Loudoun County Public Schools,"850 N. King St. Leesburg, VA 20176",571-252-2030,Will,Waldman,6-8,Middle,571-252-1000,Scott,Ziegler
977,Sterling Middle,Loudoun County Public Schools,"201 W Holly Ave Sterling, VA 20164",571-434-4520,Colleen,O'Neill,6-8,Middle,571-252-1000,Scott,Ziegler
978,Stone Hill Middle,Loudoun County Public Schools,"23415 Evergreen Ridge Drive Ashburn, VA 20148",703-957-4420,Rohini,Tohan,6-8,Middle,571-252-1000,Scott,Ziegler
